ProductID,Date,Zip,Units,Revenue,Country
1082,06/28/2015,R3E,1,225.6975,Canada
1082,12/14/2015,M6H,1,230.9475,Canada
1082,05/03/2016,L5T,1,230.9475,Canada
1082,05/14/2018,R3B,1,230.9475,Canada
1082,06/30/2018,T6J,1,230.9475,Canada
1085,12/28/2020,R3N,1,89.1975,Canada
1085,12/28/2020,R3X,1,89.1975,Canada
1085,03/24/2021,T6J,1,89.1975,Canada
1075,07/20/2016,R3B,1,254.5725,Canada
1086,08/26/2017,R3V,1,84,Canada
1086,10/28/2017,V6Z,2,178.395,Canada
1086,11/01/2017,T6K,1,89.1975,Canada
1086,08/31/2019,T6N,1,86.5725,Canada
1086,10/29/2019,R2V,1,86.5725,Canada
1086,11/30/2019,T2J,1,86.5725,Canada
1086,12/28/2019,M4V,1,86.5725,Canada
1086,05/17/2020,V7W,1,86.5725,Canada
1086,05/31/2020,M4P,1,86.5725,Canada
1085,08/29/2021,T5K,1,89.1975,Canada
1085,12/29/2019,T2J,1,86.5725,Canada
1085,04/26/2020,H1B,1,86.5725,Canada
1085,11/14/2020,K1R,1,89.1975,Canada
1085,12/09/2020,R3T,1,89.1975,Canada
1085,12/13/2020,L5V,1,89.1975,Canada
1081,12/30/2018,K2P,1,230.9475,Canada
1086,08/29/2021,T5K,1,89.1975,Canada
1086,10/27/2021,V7W,1,89.1975,Canada
1086,12/29/2018,L5P,1,83.9475,Canada
1086,12/30/2018,M4E,2,167.895,Canada
1086,12/30/2018,R3G,1,83.9475,Canada
1086,01/28/2019,T6K,1,83.9475,Canada
1086,11/30/2019,R3H,1,86.5725,Canada
1086,12/16/2019,V6E,1,86.5725,Canada
1086,01/04/2020,R3V,1,86.5725,Canada
1085,05/02/2018,R3M,1,84,Canada
1085,05/02/2018,T6N,1,89.1975,Canada
1085,10/14/2018,V6G,1,89.1975,Canada
1085,11/24/2018,L5P,1,83.9475,Canada
1085,12/29/2018,M5B,1,89.1975,Canada
1085,12/29/2018,V6L,2,178.395,Canada
1085,12/30/2018,R3H,1,83.9475,Canada
1085,02/03/2019,T2X,1,89.1975,Canada
1085,03/31/2019,T6R,1,83.9475,Canada
1085,08/05/2019,L5J,1,86.5725,Canada
1086,08/03/2020,L5H,1,86.5725,Canada
1086,10/25/2017,R2V,1,84,Canada
1086,10/29/2017,L5R,1,89.1975,Canada
1086,11/25/2017,L5R,1,84,Canada
1086,11/25/2017,T6E,1,84,Canada
1085,12/20/2017,M6S,1,84,Canada
1085,12/26/2017,M5R,1,89.1975,Canada
1085,12/27/2017,M5S,1,89.1975,Canada
1085,02/03/2018,R2L,1,89.1975,Canada
1085,02/26/2018,R2C,1,89.1975,Canada
1085,07/22/2018,T6J,1,89.1975,Canada
1085,12/01/2018,H1G,1,83.9475,Canada
1085,12/23/2018,T5V,1,83.9475,Canada
1085,01/26/2019,T6V,1,83.9475,Canada
1085,01/27/2019,V7W,1,83.9475,Canada
1085,03/19/2019,T6G,1,83.9475,Canada
1085,12/27/2020,R2L,1,89.1975,Canada
1086,03/31/2018,R3X,1,89.1975,Canada
1086,12/21/2020,V5V,1,86.5725,Canada
1086,12/27/2020,V5X,1,89.1975,Canada
1086,04/21/2021,R3X,1,89.1975,Canada
1086,05/10/2021,T2C,1,89.1975,Canada
1086,08/07/2021,R2G,1,89.1975,Canada
1085,12/27/2016,T2J,1,84,Canada
1085,01/15/2017,V6T,1,84,Canada
1081,10/26/2020,V5W,1,230.9475,Canada
1082,03/15/2014,T3G,1,225.6975,Canada
1082,02/01/2015,M4R,1,228.3225,Canada
1086,11/30/2021,T2S,1,89.1975,Canada
1086,10/20/2019,R2V,1,86.5725,Canada
1086,11/29/2019,T6G,1,86.5725,Canada
1086,12/17/2019,T2Y,1,86.5725,Canada
1086,12/27/2019,M4E,1,86.5725,Canada
1086,04/26/2020,H1B,1,86.5725,Canada
1086,09/30/2020,T2E,1,89.1975,Canada
1086,10/17/2020,L5N,1,89.1975,Canada
1076,02/22/2017,M4P,1,259.8225,Canada
1086,12/28/2020,V6S,1,89.1975,Canada
1086,12/28/2020,V6Z,1,89.1975,Canada
1086,01/03/2021,V5W,1,89.1975,Canada
1086,03/19/2019,T6G,1,83.9475,Canada
1086,05/06/2019,T6E,1,83.9475,Canada
1086,11/03/2020,M5R,1,89.1975,Canada
1086,12/21/2020,V7W,1,89.1975,Canada
1086,12/28/2020,L5P,1,89.1975,Canada
1086,12/29/2020,R3K,1,89.1975,Canada
1086,12/29/2020,V6N,1,89.1975,Canada
1086,02/02/2021,T1Y,1,89.1975,Canada
1086,08/05/2017,T6G,1,84,Canada
1086,08/26/2017,M5R,1,84,Canada
1085,11/30/2019,R3H,1,86.5725,Canada
1085,12/16/2019,V6E,1,86.5725,Canada
1085,12/27/2019,M4E,1,86.5725,Canada
1085,01/04/2020,R3V,1,86.5725,Canada
1086,05/20/2020,T6R,1,86.5725,Canada
1086,12/07/2019,R2C,1,86.5725,Canada
1086,12/22/2019,V6T,1,86.5725,Canada
1086,12/29/2019,V6B,1,86.5725,Canada
1085,09/30/2018,M5A,1,83.9475,Canada
1085,11/19/2018,L5N,1,83.9475,Canada
1082,12/05/2018,T6E,1,230.9475,Canada
1079,01/15/2014,V6B,1,262.4475,Canada
1081,03/15/2014,T3G,1,225.6975,Canada
1081,02/01/2015,M4R,1,228.3225,Canada
1075,09/05/2017,T5K,1,259.8225,Canada
1076,11/15/2014,R3T,1,254.5725,Canada
1076,12/15/2014,V6Z,1,254.5725,Canada
1076,02/11/2015,V5W,1,254.5725,Canada
1076,05/22/2015,R3S,1,254.5725,Canada
1076,12/18/2015,V6E,1,254.5725,Canada
1085,11/29/2019,R3H,1,86.5725,Canada
1085,11/29/2019,T6R,1,86.5725,Canada
1085,12/23/2019,V7Y,1,86.5725,Canada
1081,05/16/2018,T1Y,1,230.9475,Canada
1081,02/16/2020,T6E,1,230.9475,Canada
1082,03/15/2014,R3V,1,225.6975,Canada
1082,01/31/2018,T6G,1,230.9475,Canada
1085,04/28/2020,T6E,1,86.5725,Canada
1085,05/20/2020,T6R,1,86.5725,Canada
1082,12/30/2018,K2P,1,230.9475,Canada
1082,09/28/2020,L5R,1,230.9475,Canada
1085,03/12/2017,T5K,1,84,Canada
1085,03/22/2017,L5N,1,84,Canada
1085,05/01/2017,M6J,2,168,Canada
1085,07/24/2017,R2G,1,84,Canada
1085,08/15/2017,M7Y,1,84,Canada
1085,08/26/2017,R3V,1,84,Canada
1086,12/01/2020,T5K,1,89.1975,Canada
1085,02/24/2019,L5R,1,83.9475,Canada
1085,07/29/2019,H2Y,1,86.5725,Canada
1085,11/30/2019,R3G,1,86.5725,Canada
1085,12/07/2019,R2C,1,86.5725,Canada
1085,12/27/2019,T6K,1,86.5725,Canada
1085,12/28/2019,L5T,1,86.5725,Canada
1085,12/29/2019,V6B,1,86.5725,Canada
1085,01/10/2020,M4V,1,86.5725,Canada
1081,04/15/2014,L4X,1,225.6975,Canada
1046,07/17/2015,L5N,1,99.6975,Canada
1062,01/02/2016,M6H,1,146.9475,Canada
1062,02/26/2016,V5Y,1,146.9475,Canada
1065,10/01/2018,T6H,1,309.6975,Canada
1065,10/31/2018,V6H,1,309.6975,Canada
1065,04/01/2019,V5K,1,309.6975,Canada
1065,09/19/2020,R3W,1,314.9475,Canada
1065,07/18/2021,R3T,1,314.9475,Canada
1065,08/11/2021,T3G,1,314.9475,Canada
1065,09/15/2021,K1H,1,314.9475,Canada
1061,11/29/2019,T3C,1,146.9475,Canada
1065,02/15/2014,K2P,1,296.5725,Canada
1053,05/24/2021,T6G,1,272.9475,Canada
1053,05/26/2021,L5P,1,272.9475,Canada
1053,07/28/2021,T6J,1,272.9475,Canada
1065,07/24/2018,M5X,1,309.6975,Canada
1062,10/28/2017,V5V,1,149.5725,Canada
1062,12/30/2017,V7W,1,149.5725,Canada
1062,03/19/2018,T2J,1,149.5725,Canada
1062,11/05/2018,V7M,1,141.6975,Canada
1061,12/23/2018,M5B,1,141.6975,Canada
1061,12/23/2018,R3V,1,141.6975,Canada
1061,03/01/2019,T6V,1,141.6975,Canada
1058,11/24/2018,L5P,1,131.1975,Canada
1058,12/30/2018,R3H,1,131.1975,Canada
1058,03/02/2019,M5P,1,136.4475,Canada
1058,10/27/2019,V5V,1,131.1975,Canada
1058,05/09/2020,K1R,1,131.1975,Canada
1058,01/31/2021,R3G,1,136.4475,Canada
1058,02/08/2021,V6R,2,272.895,Canada
1058,06/09/2021,V6A,1,136.4475,Canada
1058,02/22/2020,V5X,1,131.1975,Canada
1058,12/27/2020,L5R,1,136.4475,Canada
1066,05/15/2014,M7Y,1,296.5725,Canada
1052,09/27/2021,T6G,1,246.6975,Canada
1053,03/01/2015,T6G,1,251.9475,Canada
1053,08/21/2015,L5N,1,262.4475,Canada
1065,10/06/2019,L5P,1,314.9475,Canada
1070,10/31/2021,V7T,1,157.4475,Canada
1065,05/15/2014,M7Y,1,296.5725,Canada
1065,09/15/2014,L5R,1,296.5725,Canada
1061,12/28/2019,M4V,1,141.6975,Canada
1061,02/11/2020,T6E,1,146.9475,Canada
1075,07/06/2015,T5W,1,254.5725,Canada
1062,04/02/2019,L4X,1,141.6975,Canada
1062,12/29/2019,L4X,1,146.9475,Canada
1062,02/11/2020,T6E,1,146.9475,Canada
1066,01/24/2018,T5L,1,309.6975,Canada
1066,03/19/2018,M4N,1,309.6975,Canada
1066,10/31/2018,V6H,1,309.6975,Canada
1066,01/19/2019,R3B,1,309.6975,Canada
1066,04/01/2019,V5K,1,309.6975,Canada
1066,09/19/2020,R3W,1,314.9475,Canada
1062,05/28/2019,V6H,1,141.6975,Canada
1053,08/08/2016,T5L,1,262.4475,Canada
1053,08/30/2016,T5L,1,262.4475,Canada
1053,01/03/2018,T5S,1,262.4475,Canada
1053,02/04/2018,T5H,1,262.4475,Canada
1053,04/01/2019,T2C,1,262.4475,Canada
1085,07/29/2020,R2G,1,89.1975,Canada
1085,08/12/2020,R2L,1,89.1975,Canada
